question,context
"What was the reason behind Rabindranath Tagore's decision to renounce his knighthood, an honour conferred upon him by the British Crown, in 1919?","Rabindranath Tagore returned his knighthood in 1919 because of the Jallianwala Bagh massacre. Rabindranath Tagore was given a knighthood for services to Literature in 1915 by King John V.He was the first Indian to receive the knighthood. He renounced his knighthood in protest of the mass murder of the people in Amritsar, Punjab.A knighthood refers to a title given by the British King/Queen for a person’s achievements or contribution to society."
"From which Indian city was the newspaper 'Indian Mirror' published, which was an influential publication during the Indian independence movement and played a crucial role in shaping public opinion?","Indian mirror was published in Calcutta, West Bengal.Started by Devendra Nath Tagore in 1862, the newspaper was published in English. It was owned by Keshab Chandra Sen, and one of the editors of the newspaper was Manmohan Ghosh.Later, Pratap Mazoomdar compiled and edited the newspaper. Narendra Nath Sen, the founder of the Theosophical Society of Bengal, made significant contributions to the newspaper.Devendra Nath Tagore was a philosopher and religious reformer. He founded the Brahmo religion, opposed idol worship, the practice of Sati, and rejected the idea of Vedas. He also founded the Shantiniketan(Abode of Peace) in 1863.He was known as “Maharishi” or Great Sage.Hicky’s Bengal Gazette was the first newspaper published in India. It was published in Kolkota in 1780 by James Augustus Hickey.Madras Courier (1785) and the Bombay Herald ( 1789) were published immediately after the Bengal Gazette."
"In which year was the Widow Remarriage Act, a significant social reform legislation passed in colonial India that allowed widows to remarry and aimed to abolish social stigma and discrimination against widows, enacted by the British colonial government?","The Hindu Widow remarriage act was passed in 1856.Drafted on 25th July 1856 by Lord Dalhousie, the act was passed by Lord Canning before the 1857 rebellion. Canning established the widow remarriage committee in 1866.The act is considered a crucial, socially relevant legislation after the Abolition of Sati by Lord William Bentick. It removed the disabilities faced by Hindu women in getting married and provided legal safeguards against loss of inheritance for marrying a Hindu widow.The act provided all the rights and inheritances to all the widows that they had at the time of their first marriage. The act primarily focused on the child widows.The prominent reformer who filed legislation for widow remarriage was Ishwar Chandra Vidyasagar. On December 7, 1856, he married the first widow against the interests of conservative Hindus in Kolkota."
"Which was the first newspaper to be published in India, founded in 1780 by James Augustus Hickey, an Englishman who served as a writer and editor for the British East India Company?","The Bengal Gazette or Hicky’s Bengal Gazette was the first newspaper published in India. Also known as the Original Calcutta General Advertiser, it was the first newspaper printed in Asia. An Irishman named Augustus Hickey founded the newspaper in 1779. It was an English newspaper published in Calcutta. Sarcastic in nature, the newspaper was a strong critic of the various imperialist policies of the East India company. It also criticized the administration of Governor General Warren Hastings and his policies. Bengal Gazette discussed taboo topics and was the first example of provocative journalism in India.The newspaper became quite famous among the British soldiers in India and inspired Indians to begin the newspaper. The Vernacular Press Act or the gagging Act was passed in 1878 to regulate the Indian Press by then viceroy, Lord Lytton."
"What was the primary occupation of the people belonging to the ancient Harappan civilization, which flourished in the Indus Valley region of the Indian subcontinent from around 2600 BCE to 1900 BCE?","The main occupation of the Harappans was agriculture. Wheat, barley, peas, and bananas were raised for subsistence. Cotton was another important crop. The fertile plains of the Indus Valley Civilization complemented the agriculture of the region. The occasional floods were beneficial since they brought a lot of fertile soil to the area. People ploughed the land with wooden ploghshares drawn by men and oxen. Granaries or huge storehouses for storing grains found during the excavation confirmed the practice of agriculture in Harappan sites. Irrigation was also used by the people of the Harappan civilization. They collected fruits, fish, and hunted wild animals for food. Weapons made of copper and bronze were used for the same. Harappan people also domesticated animals.People were also involved in the trade of goods, including; terracotta pots, metals, beads, flints, pearls, and coloured gemstones called lapis lazuli and turquoise. The main trade routes extended to the Persian Gulf, Mesopotamia, and Egypt."
"In which year did the Third Battle of Panipat take place,a significant military conflict fought between the Maratha Empire and the Durrani Empire of Afghanistan that resulted in a decisive victory for the Durrani forces?","The Third Battle of Panipat was fought in the year of 1761.The battle took place on 14th January 1761, between the Maratha Empire and Afghans, led by Ahmad Shah Durrani with the aid of Rohilla Afghans of the Doab and Shuja-ud-Daula, the Nawab of Oudh.The battle is considered as one of the largest battles of the 18th century with the largest number of fatalities in a single day.The expansion of Marathas after defeating the Mughals was confronted by Ahmad Shah Abdal of the Durrani empire.After several days of the war, the forces led by Ahmad Shah Durrani emerged victorious. Marathas, led by Sadashivrao Bhau could not stand the Afghani forces in number and artillery and had a pathetic defeat in the end.Panipat is located in present-day Haryana.The battle is mentioned in the poem “With Scindia to Delhi” by Rudyard Kipling.The First Battle of Panipat was fought on 21st April 1526 between Babur and Ibrahim Lodi.The Second Battle of Panipat was fought on November 5, 1556, between Akbar and Hemu."
"Which ruler is credited with completing the construction of the Qutub Minar, a UNESCO World Heritage Site located in Delhi and one of the tallest minarets in the world, after it was started by his predecessor?","IItumish completed the construction of Qutub Minar by adding three storeys to it.The construction of Qutub Minar was started by Qutab-ud-din Aibak, the founder of the slave dynasty in India. However, he was only able to complete the basement. Further additions were made by Iltumish and Firoz Shah Tughluq.Qutub Minar is a 73-meter-high minaret built with marble and sandstone in 1192. It is a blend of Indo-Islamic architecture and was built in the memory of Qutbuddin Bakhtiar Kaki, a Sufi saint.The Ghurids supported and financed the construction of Qutub Minar.Qutub Minar was added to the UNESCO World Heritage list in 1993.Iltumish was the third Mamluk ruler in India and one of the important founders of the Delhi Sultanate. He introduced the silver coin, tanka, and copper coin, jital, during the Sultanate period. He also constructed mosques,khanqahs, dargahs, etc.The Iqtadari system, where the empire was divided into Iqtas and distributed to nobles and officials in place of salary, was introduced by him."
Who was Akbar’s revenue minister?,"Raja Todar Mal was the revenue minister of Akbar.One of the prominent Navaratnas of Akbar’s court, he held the title of Vakil-us-Sultanat and was also a joint Wazir.He belonged to the Rajput dynasty and introduced a set of reforms known as the Todar Mal’s rent roll, which contained the land records of the Mughal Empire.A part of Sher Shah Suri’s administration, he later joined Akbar’s court in 1560. He came up with a land survey and settlement system, revenue officers and districts, and standardized weights and measures.Taxes were fixed on each crop in cash.Zabt, a fresh revenue system, and Dahshala, a system of taxation, was established by him. A set of revenue collection arrangements,known as Todarmal’s Bandobast, was also instituted.He divided the provinces of the Mughal Empire into revenue circles with fixed rates of revenue.Todar Mal rebuilt the Kashi Vishwanath temple in 1585."
Who led the Vedaranyam March in 1930?,"The Vedaranyam March was a part of the Civil disobedience movement led by C.Rajagopalachari in 1930. A close disciple of Mahatma Gandhi, he led the march as a prolongation of the Dandi March to protest against the Salt tax imposed by the British on Indians. A group of 150 volunteers, mostly members of the Indian National Congress accompanied him from Trichinopoly to Vedaranyam in Tamil Nadu. They collected the salt directly from the sea as a part of the protest.The prominent members of the march were Rukmini Lakshmipathi, K. Kamaraj, Aranthangi C. Krishnaswamy, M. Bhaktavatsalam, and Rajaji’s son, C. R. Narasimhan. Rajagpalachari tried to educate the masses on social discrimination and talked about the importance of Khadi. C.Rajagopalachari, also known as ‘Rajaji’ was the first Indian Governor General of Independent India. He was the editor of Young India, a newspaper by Mahatma Gandhi. The Vedaranyam march came to an end on 28 April 1930 with the arrest of its members. Rajagopalachari was imprisoned for a term of six months."
"During the Indian national movement, which Indian nationalist leader or movement popularized the slogan 'Go back to Vedas'?","Swami Dayanand Saraswathi gave the slogan “Go Back to Vedas”.He was an ascetic and a strong believer in Vedas. He regarded that Vedas were the repository of the fundamental knowledge and religious truths relevant to society. He stressed the Vedic ideals of brahmacharya and devotion to god.He wanted the world to follow the teachings of Vedas and practice a way of Vedic living. He also opposed untouchability and idol worship.With strong opposition to ritualistic practices and superstitions, his efforts were focused on reforming Hinduism, which he believed was corrupted with social evils.A social reformer who believed in the doctrine of Karma and reincarnation, he founded a reform movement, Aryasamaj in 1885. The slogan of Arya Samaj was “Krinvanto Vishwam Aryam”.He is the author of the book “ Satyarth Prakash”, meaning “The Light of Truth”.Swami Dayanand Saraswathi is known as the “Martin Luther King of India”.His original name was Mula Sankara."
Which is the oldest Veda?,"Rig Veda is the oldest of the Vedas, the sacred texts of Hinduism. It means “The Knowledge of Verses”.Written in Sanskrit around 1500 BC,Rig Veda consists of 1028 poems arranged into 10 circles or Mandalas.Each Mandalas have suktas or hymns.The hymns or poems are written in praise of the gods and recited in rituals. Agni, Indra, Mitra, Varuna, and other Gods were praised through the chanting of the hymns. Rig Veda contains Purusha Sukta, which explains that the four varnas, including Brahmana, Kshatriya, Vaishya, and Shudra were born from the mouth, arms, thighs, and feet of the creator. The Gayatri Mantra is also taken from Rig Veda."
"What is the origin of the famous slogan ""Inquilab Zindabad"" and who is credited with its authorship?","A prominent Urdu poet and Muslim scholar, he was also an active freedom fighter and communist leader.A Hindustani phrase meaning “Long live revolution”, Inquilab Zindabad ignited the pro-independence sentiments of the Indian people.It was popularized by Bhagat Singh through his speeches and writings and was actively used by the Hindustan Socialist Republican Association, Communist Consolidation, and the All India Azad Muslim Conference.Bhagat Singh and his associate, B.K.Dutt raised the slogan for the first time during the bombing of the Delhi Central Legislative Assembly. It was presented in an open court for the first time during a joint declaration at the High Court of Delhi."
"What is the history behind the iconic Red Fort of Agra, and who was responsible for its construction?","The Red Fort of Agra was built by Emperor Akbar in 1565.Known as the “Fort Rouge” or “Qila-i-Akbari ”, the construction of this huge red-sandstone fort was started by Akbar and further built by Shah Jahan, his grandson. He modified the fort to its current form.A major residence of Mughal rulers till 1638, the Agra Fort was also declared a World Heritage Site in 1983 by UNESCO. Abul Fazl, the author of Akbar Nama recorded that the building was known as ‘Badalgarh’ before they started the construction of the fort. The Agra Fort was invaded by the Marathas in the 18th century and later captured by the British. The Red Fort of Delhi was built by Shah Jahan in 1638, when he moved his capital from Agra to Shahjahanabad or Delhi."
"In what year did Mahatma Gandhi return to India from South Africa, where he had spent more than two decades fighting against discrimination and injustice faced by Indians living there?","Mahatma Gandhi returned to India from South Africa on January 9,1915. During his stay in South Africa as a lawyer, he experienced multiple instances of racial discrimination and humiliation as a dark-skinned Indian. He was a part of non-violent protests against racial discrimination against Africans and Indians in 1984. Gandhiji was invited to join the National Movement in India by his political guru and leader of the Indian National Congress, Gopala Krishna Gokhale. Gokhale informed Gandhiji on the prevailing status of the national Movement, political crisis, and social issues in India. After arriving in India, Gandhi became an active part of theIndian National Movement and organized various movements like Champaran Satyagraha, Kheda Satyagraha, the Non Co-operation movement, and Civil Disobedience Movement.Pravasi Bharathiya Diwas is celebrated every year to commemorate Gandhiji’s return from Africa to Mumbai on January 9th. The theme of Pravasi Bharatiya Diwas 2022 was “ Contributing to Atmanirbhar Bharat”.It is also known as The Non-Resident Indian Day."
"What is the history behind the composition of India's National Anthem, ""Jana Gana Mana,"" and who is credited with its creation?","Rabindra Nath Tagore composed the National Anthem of India, “Jana Gana Mana”.It was originally written in Bengali Sanskrit and was adopted from a Brahmo Hymn written by him.It was first sung at the Calcutta session of the Indian National Congress and adopted by the Constituent Assembly on 24th January 1950.Initially published in January 1912 as “Bharat Bhagya Bidhata” in the Tattwabodhini Patrika, it was selected as the National Anthem by Subhash Chandra Bose. “Amar Sona Bangla”, the National Anthem of Bangladesh was also composed by Rabindranath Tagore. He also influenced the National Anthem of Sri Lanka. The National Anthem takes 52 seconds for rendition.The idea conveyed through the national anthem is that even though India has got different cultures, traditions, languages, and religions, it is integrated by the virtues of unity and fraternity. It is an anthem for Indians to celebrate pluralism, despite all the differences.It is also known as the“ Morning song of India”.Rabindra Nath Tagore is the first Nobel laureate of India."
"What do we know about the religious practices of the people of the Indus Valley Civilization, and who or what did they worship?","Pashupati or the Proto Shiva was the chief deity worshipped by the people of the Indus Valley Civilization.Archaeological excavations in Mohenjo Daro had retrieved the Pashupati seal. It depicted a three-faced human figure with buffalo, residing in a “cross-legged manner” on a throne, surrounded by an elephant, tiger, buffalo, rhinoceros, and two deer on the feet.Also known as the Mahayogi seal, it is considered one of the oldest depictions of Lord Shiva or “Pashupati”.None of the seals of that time had images of human figures as most of them had images of animals.Lord Shiva was known as ‘Mahayogi’ or the prince of Yogis,and ‘Pahupati ‘or the Prince of animals.The name Proto Shiva was assigned by Sir John Marshall, who carried out the excavations in Mohenjodaro.The Harappa and Mohenjo Daro were important sites of the Indus Valley Civilization. Both the cities are currently located in Pakistan.The Pashupati seal is preserved in the National Museum, New Delhi.The people of Indus Valley Civilization also worshipped Mother Goddess, Neem, Peepal, Sun, Fire, Earth, and Water."
"What is the history behind the establishment of the first English factory in India, and in which year was it set up?","The first English factory was set up in India, in the year 1951, on the banks of the river Hugli in West Bengal.This was considered the base from which the traders of the company, known as “factors” operated. The factory included a warehouse that stored the goods for export and offices where the officials sat.The then Governor of Bengal, Siraj-ud-Daulah allowed the East India Company to carry out trading activities. The end of his reign initiated the rule of the East India Company in Bengal.After the expansion of trade, the company prompted the traders to settle near the factory.They began building the fort around the settlement by 1696 and bribed the Mughal officials to give Zamindari rights over three villages. Kalikata, which later became Kolkata, was one of the villages.The Mughal ruler, Aurangzeb, was persuaded by the company to issue a “Farman”, right to trade, duty-free. The company was also given the Dastaks or passes for the transportation of goods."
What is the name of the person who founded the Deccan Education Society in Pune?,"Bal Gangadhar Tilak and Gopal Ganesh Agarkar started the Deccan Education Society in 1884 in Pune.They embarked on a path that would lead to a new awakening and salvation through social transformation.The New English School in Pune was founded in 1880 and gained a reputation for its standard of education. These paved the way for the establishment of the Deccan Education Society to bring about remarkable achievements in higher education.Prominent people involved in the formation of the Deccan Education Society are Vishnushastri Chiplunkar, Justice Mahadev Govind Ranade, Gopal Ganesh Agarkar, Mahadev Ballal Namjoshi, V.S.Apte, V. B. Kelkar, M. S. Gole, and N. K. Dharap With the focus on the education of the masses, it was a blend of traditional and modern ideals.Fergusson College was established in 1885 within a few months after the formation of the Deccan Education Society. It was the first native higher education institution in Pune. Today, the Deccan Educational Society is a group of 45 educational institutions that are centers of quality education at primary, secondary, and higher secondary schools, as well as colleges with various disciplines."
Can you tell me the name of the person who designed the first Indian National Flag?,"The first National Flag was designed by Sister Nivedita in 1904.She designed the flag with dual colours of yellow and red with a symbol of Vajra, a weapon of Lord Indra. The red and yellow colours stood for freedom and victory, whereas the Vajra symbolized strength..A ‘white lotus’ was placed in the centre, signifying purity. The Bengali word “Bonde Mataram” was also written on it.Sister Nivedita hailed from Ireland, and was a disciple of Swami Vivekananda.Also known as Nivedita’s Vajra Flag, it was displayed in an exhibition at the Calcutta Congress in 1906.However, the Flag did not find enough recognition and is preserved in the Acharya Bhavan Museum, Kolkata."
When and where was the first Electronic Voting Machine used?,"The Electronic Voting machines or EVM’s were first used in 1982 in the By-election to the North Paravur Assembly constituency in Kerala.However, the Supreme Court declared the election invalid following the absence of a law prescribing EVM.Later, in 1998, 45 EVMs were used in Legislative Assembly constituencies across Madhya Pradesh, Delhi, and Rajasthan, after a consensus was reached.An Electronic Voting Machine consists of a Control Unit and a Balloting Unit with a cable linking both. A balloting unit can have up to 16 candidates.The Electronic Voting Machine was designed by A.G Rao and Ravi Poovaiah, two professors of IIT Bombay.Paper Ballots and manual counting were used before the advent of EVMs.To upgrade the transparency and verifiability of the EVMs and make sure that the voter cast their votes as intended, Voter Verifiable Paper Audit Trail has been introduced."
Who gave the slogan ‘Do or Die’?,"‘Do or Die ‘slogan is associated with Mahatma Gandhi. It is marked as the beginning of the Quit India Movement.Also known as the August Movement or August Kranti Movement, the Quit India Movement began on 8th August 1942. It was the last Civil Disobedience movement launched by Mahatma Gandhi before gaining Independence.The Quit India Movement was started in the Bombay session of the Indian National Congress following the failure of the Cripps Mission in 1942.The ‘Do or Die’ slogan was given during a speech by Mahatma Gandhi at the Gowalia Tank Maidan or August Kranti Maidan in Mumbai.Aruna Asif Ali, the Grand Old Lady of India is also known as the Heroine of the Quit India Movement.The Quit India Movement did not receive support from the Muslim League, The Communist Part of India, and the Hindu Mahasabha.8th August is observed as the Quit India Movement Day."
Which person or group is credited with building Nalanda University?,"Nalanda University was built by Kumaragupta of the Gupta dynasty in the 5th century BC.Prominent rulers of the time, including King Harshavardhana of Kannauj, Pala Rulers, and many scholars patronized Nalanda.An abode of learning, eminence, and intellectual sharing, it is considered the world’s first residential University by historians. It is also considered a major centre of learning from the 5th century CE to 1200 CE.Nalanda university was destroyed by Muhammad Bakhtiyar Khilji, with an intent to evade the roots of knowledge, Buddhism, and Ayurveda. He set fire to the library of Nalanda.Nalanda University was featured in the UNESCO World Heritage List on January 9, 2009.Nalanda University was resurrected in 2010 and is designated as an institution of national importance. It is located in Rajgir in the Nalanda district of Bihar and functions under the Ministry of External Affairs.Another important centre of learning was Taxila University in Taxila city, the capital of the Achaemenid territories."
What is the name of the person who gave the title 'Bapu' to Mahatma Gandhi?,"""Bapu"" was the title given to Mahatma Gandhi by Subhash Chandra Bose on 6th July 1944.This title was given on his address through Singapore Radio as condolence on the demise of Gandhi’s wife, Kasturba Gandhi.The word “Bapu” refers to “Father”.Gandhi is also known as “Mahatma” and “Father of the Nation”. The title “Mahatma” was awarded to him by Rabindranath Tagore."
When was the first Industrial Policy established in India?,"The first Industrial Policy post-Independence was announced in 1948.Known as the Industrial Policy Resolution of 1948, it was declared on 6th April 1948 and presented by Dr. Shyama Prasad Mukherjee, then Industry Minister, in the Parliament.It was the first major policy document on Industries and stressed the concept of a mixed economy to accommodate both private and public industries and thereby promote development. It also laid stress on the role of the state."
Who was the first woman Chief Minister of India?,"Sucheta Kripalani was the first Woman Chief Minister of India.She was elected the fourth chief minister of Uttar Pradesh from the Kanpur constituency and served a term of four years from 1963-1967.A noted politician, administrator, and freedom fighter, she was also an active participant in the Quit India movement and Partition riots. She was a member of the sub-committee that drafted the Indian Constitution.She was the founder and president of the All India Women Congress, established in 1940.The first woman Governor of India was Sarojini Naidu, who governed Uttar Pradesh from 1947-1949.Indira Gandhi was the first woman to become the Prime Minister of India. She was also the first woman to receive Bharat Ratna.The longest serving Chief Minister of India was Sheila Dikshit, who was the Chief Minister of Delhi,for a term of 15 years from 1998. She was the second woman CM of Delhi."
What language was the autobiographical ‘Baburnama’ written in?,"Baburnama, an autobiography of Zahiruddhin Muhammad Babur was written in his mother tongue, Chagatai Turkic.Babur, the founder of the Mughal Empire in India, wrote this in the form of memoirs. It is considered the first true work in the Islamic literature of the autobiographical genre.Baburnama gives an account of his life, interests in nature, politics, economics, society, and diverse topics from astronomy to poetry.During Akbar’s reign, Panda Khan translated Baburnama into the Persian language. Annette Susannah Beveridge, a British linguist, did the translation for Baburnama into English."
Who was the founder of the Maurya Dynasty?,"The Mauryan Empire was formed by Chandragupta Maurya, who ruled from 350-295 BCE.Born in Pataliputra, he was a ruler who maintained an extensive empire.Chandragupta seized the territories of the Northwest region after Alexander left the conquest of India.He also defeated the Magadha Empire ruled by Dhana Nanda.Chandragupta tried for territorial expansion and integration in India and succeeded except in a few places like Kalinga and Southern India.Kautilya was the minister and advisor to Chandragupta Maurya. He was also known as “Chanakya”. His book, Arthashastra gave a detailed account of the Mauryan administrative system.Chandragupta had maintained a large army and made several conquests to South India.His court was resided by a number of Greek historians, the prominent one being the Megasthenes. His notable work,Indica,gives a detailed description of India and the Indian people.He also seized a large part of Eastern Persia including Afghanistan and Baluchistan from Seleucus Nicator, which finally ended with a peace treaty.He was succeeded by his son, Bindusara."
What was the language of administration under the Delhi Sultans?,"Persian was the language of administration under the Delhi Sultans.Tarikh and Tawarikh,sources of information on Delhi Sultans, were written in Persian. It was also the language for administration.Turkish rulers who ascended the throne of Delhi made the Persian language popular.Most of the literary works of that period were written in Persian. As more Indians became familiarized with the language, many of these works were centered on Indian themes.The importance of other languages like Sanskrit diminished under the popularity of Persian.Persian literature increased in popularity with the writings of Amir Khusrau. He was one of the first writers to write in Persian on events related to Indian context.Another important ruler who made significant contributions to Persian literature was Ziauddin Barani through his literary works like Tarikh-I Firozshahi and Fatwa-I Jahandari.There were also several translations into the Persian language from other vernacular languages."
Where was the capital of Raja Vir Singh Dev?,"Gahora was the capital of Raja Vir Singh Dev, a chief of Bundela Rajputs.He ruled the kingdom of Orchha from 1605-1627, and was very powerful amongst the Bundela chiefs.He was a great warrior and powerful administrator.He assassinated Abul Fazl, the chief advisor of Akbar’s court and the author of Akbar Nama.Under Raja Vir Singh, architecture flourished in Orchha.He built the twin forts of Orchha and Datia.The style of architecture, which is currently known as the “Bundela style of architecture” is a combination of Rajasthani, Jain, and Mughal styles.He constructed the temples in the Brajmandal area that included Vrindavan and Mathura.He also built the Lakshmi Temple and Phool Bagh gardens.He was a contemporary of Mughal ruler Jehangir."
What was the name of the Mahajanapada that had Mathura as its capital?,"Mathura was the capital of one of the 16 Mahajanapadhas, Surasena, that existed between the 6th and 4th century BCE.It was located in a region corresponding to the present-day Brij in Uttar Pradesh.The name Surasena is mentioned in the Ramayana.Buddhism gained popularity in the Mathura region through Avantipura, the king of Surasena. He was a major disciple of Buddha.Mathura was known as a center for worship of Lord Krishna during the time of Megasthenes. The Surasena kingdom was later annexed by the Magadha Empire."
What is the first day of Pongal known as?,"The first day of the Pongal is known as Bhogi.It marks the end of the Tamil month Margazhi and initiates a fresh start. It is celebrated in honour of Lord Indra. People on this day dispose off their old belongings and celebrate with new clothes and decorate their houses.Pongal is a harvest festival celebrated in Tamil Nadu in honour of the Sun god. There are four days of celebrations as a token of gratitude from the farmers for blessing them with high yields. These are:Bhogi Pongal,Thai Pongal,Mattu Pongal,Kaanum PongalThe word ‘Pongal’ in Tamil Nadu means “to boil” or overflow. They prepare an authentic dish with rice, milk and jaggery from the harvest."
Which ruler was not a proponent of buddhism?,"Pushyamitra Shunga founded the Shunga dynasty in 187 BC with its capital at Pataliputra.According to early sources like Ashkavadana,Pushyamitra Shunga was against Buddhism.He was a Brahmin.He defeated Brihadratha, the last ruler of the Maurya dynasty Pushyamithra succeeded in a number of battles against Greek kings Menander and Demetrius.He also won a battle against the Kalinga King, Kharavela and conquered Vidarbha.Buddhist Stupas in Sanchi and Bharhut were renovated by him.He is said to have performed two Ashwamedha Yagas, and Vedic sacrifices like Vajapeya and Rajasuya.He patronized Panini, a Sanskrit grammarian.Agnimitra, son of Pushyamitra Shunga,is mentioned in Malavikagnimitra by Kalidasa.The Shunga dynasty ruled over Magadha and succeeded the Mauryas.The first ruler of Shunga Dynasty was Pushyamitra Shunga and last ruler was Devabhuthi."
